"","common.name","scientific.name","image.lookup.text"
"1","Scheibenbakterien","Simonsiella muelleri","Simonsiella muelleri"
"2","Scheibenbakterien Muller 1911","Simonsiella muelleri","Simonsiella muelleri"
"3","E. coli","Escherichia coli","Escherichia coli"
"4","rickettsialpox","Rickettsia akari","Rickettsia akari"
"5","agent of human granulocytic ehrlichiosi","Anaplasma phagocytophilum","Anaplasma phagocytophilum"
"6","equine monocytic ehrlichiosis agent","Neorickettsia risticii","Neorickettsia risticii"
"7","Bacteroides-Cytophaga-Flexibacter group","Bacteroidetes","Bacteroidetes"
"8","BCF group","Bacteroidetes","Bacteroidetes"
"9","CFB group","Bacteroidetes","Bacteroidetes"
"10","Cytophaga-Flexibacter-Bacteroides phylum","Bacteroidetes","Bacteroidetes"
"11","purple sulfur bacterium","Chromatiaceae","Chromatiaceae"
"12","photosynthetic flexibacterium","Chloroflexaceae","Chloroflexaceae"
"13","blue-green bacterium","Cyanobacteria","Cyanobacteria"
"14","cyanophyte","Cyanobacteria","Cyanobacteria"
"15","purple bacteria and relative","Proteobacteria","Proteobacteria"
"16","purple bacterium","Proteobacteria","Proteobacteria"
"17","purple non-sulfur bacterium","Proteobacteria","Proteobacteria"
"18","purple photosynthetic bacteria and relative","Proteobacteria","Proteobacteria"
"19","purple photosynthetic bacterium","Proteobacteria","Proteobacteria"
"20","low GC Gram+","Firmicutes","Firmicutes"
"21","low G+C Gram-positive bacterium","Firmicutes","Firmicutes"
"22","Bacillus rRNA group 1","Bacillus","Bacillus"
"23","anthrax bacterium","Bacillus anthracis","Bacillus anthracis"
"24","anthrax","Bacillus anthracis","Bacillus anthracis"
"25","Melanogaster sex ratio organism","Spiroplasma poulsonii","Spiroplasma poulsonii"
"26","lemon","Citrus limon","Citrus limon"
"27","Ichang papeda","Citrus cavaleriei","Citrus cavaleriei"
"28","apfelsine","Citrus sinensis","Citrus sinensis"
"29","naranja","Citrus sinensis","Citrus sinensis"
"30","navel orange","Citrus sinensis","Citrus sinensis"
"31","Valencia orange","Citrus sinensis","Citrus sinensis"
"32","eukaryote","Eukaryota","Eukaryota"
"33","rhodophyte","Rhodophyta","Rhodophyta"
"34","carageen","Chondrus crispus","Chondrus crispus"
"35","carrageen","Chondrus crispus","Chondrus crispus"
"36","Irish moss","Chondrus crispus","Chondrus crispus"
"37","chrysomonad","Chrysophyceae","Chrysophyceae"
"38","chrysophyte","Chrysophyceae","Chrysophyceae"
"39","coccolithophorid","Haptophyta","Haptophyta"
"40","bacillariophyte","Bacillariophyta","Bacillariophyta"
"41","dinophyte","Dinophyceae","Dinophyceae"
"42","badderlock","Alaria esculenta","Alaria esculenta"
"43","henware","Alaria esculenta","Alaria esculenta"
"44","murlin","Alaria esculenta","Alaria esculenta"
"45","euglenophyte","Euglenida","Euglenida"
"46","sea lettuce","Ulva","Ulva"
"47","dead man's finger","Codium fragile","Codium fragile"
"48","charophyte","Characeae","Characeae"
"49","stonewort","Characeae","Characeae"
